datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 11:08:06:644,1,0,645.0,1847.0,1202.0,127.66,27.53,100291.27,92.65,3.32,-6.58,-6.24,-0.0,0.0,0.0,17.13,15.22,-1.1,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:771,7,1,85.0,259.0,174.0,19.08,26.84,100252.08,95.94,5.63,-6.25,-5.25,0.0,0.0,-0.0,17.76,29.07,-27.6,29.74,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:06:898,1,0,645.0,1848.0,1203.0,127.81,27.53,100288.09,92.92,3.33,-6.6,-6.28,-0.0,0.0,-0.0,14.84,15.7,-8.8,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:024,7,1,86.0,259.0,173.0,18.86,26.84,100253.02,95.86,5.65,-6.26,-5.24,-0.0,-0.0,-0.0,21.67,29.57,-28.6,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:151,1,0,645.0,1848.0,1203.0,127.81,27.53,100292.39,92.56,3.33,-6.59,-6.26,0.0,0.0,0.0,15.37,14.45,5.06,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:278,7,1,86.0,258.0,172.0,18.71,26.84,100253.46,95.83,5.65,-6.24,-5.25,0.0,0.0,-0.0,24.6,29.82,-29.34,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:405,1,0,645.0,1847.0,1202.0,127.66,27.53,100291.7,92.62,3.31,-6.59,-6.27,-0.0,0.0,0.0,15.02,14.83,1.98,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:532,7,1,85.0,258.0,173.0,18.93,26.84,100254.64,95.73,5.63,-6.27,-5.23,-0.0,0.0,0.0,21.67,29.9,-26.11,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:658,1,0,645.0,1847.0,1202.0,127.66,27.52,100290.97,92.68,3.32,-6.58,-6.26,-0.0,0.0,-0.0,14.49,15.51,-2.64,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:785,7,1,86.0,259.0,173.0,18.86,26.84,100253.7,95.81,5.65,-6.26,-5.24,-0.0,-0.0,-0.0,19.72,29.4,-28.1,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:07:912,1,0,645.0,1848.0,1203.0,127.81,27.53,100291.88,92.6,3.32,-6.59,-6.28,0.0,0.0,0.0,15.02,14.83,5.06,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:039,7,1,86.0,259.0,173.0,18.86,26.84,100252.45,95.91,5.63,-6.24,-5.25,0.0,0.0,-0.0,26.55,29.65,-29.34,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:165,1,0,645.0,1848.0,1203.0,127.81,27.53,100292.99,92.51,3.31,-6.6,-6.25,0.0,0.0,-0.0,14.14,15.7,-11.88,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:292,7,1,86.0,259.0,173.0,18.86,26.84,100252.24,95.93,5.65,-6.25,-5.25,-0.0,0.0,0.0,29.48,29.73,-28.1,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:419,1,0,645.0,1848.0,1203.0,127.81,27.53,100290.58,92.71,3.31,-6.59,-6.29,0.0,0.0,0.0,15.2,15.7,-2.64,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:546,7,1,86.0,259.0,173.0,18.86,26.84,100251.06,96.03,5.63,-6.26,-5.26,-0.0,0.0,-0.0,23.62,29.4,-29.09,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:673,1,0,645.0,1848.0,1203.0,127.81,27.53,100290.92,92.68,3.3,-6.58,-6.27,0.0,0.0,0.0,15.2,15.51,-2.64,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:799,7,1,86.0,259.0,173.0,18.86,26.84,100251.91,95.96,5.64,-6.27,-5.23,-0.0,-0.0,0.0,19.72,29.57,-27.6,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:08:926,1,0,645.0,1848.0,1203.0,127.81,27.53,100292.35,92.56,3.31,-6.57,-6.29,0.0,-0.0,-0.0,14.67,15.41,-4.18,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:053,7,1,86.0,259.0,173.0,18.86,26.84,100253.13,95.85,5.65,-6.24,-5.23,-0.0,0.0,0.0,19.72,28.9,-27.1,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:180,1,0,644.0,1847.0,1203.0,127.87,27.53,100291.88,92.6,3.32,-6.58,-6.28,0.0,0.0,-0.0,14.67,15.99,-10.34,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:306,7,1,86.0,259.0,173.0,18.86,26.84,100252.52,95.91,5.64,-6.26,-5.24,-0.0,0.0,-0.0,30.46,29.32,-27.85,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:433,1,0,645.0,1848.0,1203.0,127.81,27.52,100290.97,92.68,3.32,-6.6,-6.26,0.0,-0.0,0.0,15.55,15.12,3.52,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:560,7,1,86.0,259.0,173.0,18.86,26.84,100255.14,95.69,5.66,-6.24,-5.25,0.0,0.0,-0.0,25.57,29.07,-26.11,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:687,1,0,645.0,1848.0,1203.0,127.81,27.53,100292.48,92.55,3.32,-6.59,-6.27,0.0,0.0,-0.0,15.73,15.8,-10.34,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:813,7,1,86.0,259.0,173.0,18.86,26.84,100254.7,95.72,5.64,-6.25,-5.23,-0.0,-0.0,0.0,25.57,29.57,-27.6,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:09:940,1,0,645.0,1848.0,1203.0,127.81,27.53,100293.16,92.49,3.34,-6.6,-6.24,0.0,0.0,-0.0,14.67,15.22,-13.42,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:067,7,1,86.0,259.0,173.0,18.86,26.84,100252.95,95.87,5.63,-6.27,-5.22,-0.0,-0.0,-0.0,28.5,29.32,-26.36,29.78,ground_truth,inspection_ExFatLogger01.csv
