datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:27:11:049,1,1,76.0,484.0,408.0,56.13,28.08,100462.63,78.28,5.59,-5.87,5.33,0.0,-0.0,0.01,-10.69,15.84,-15.45,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:175,2,2,220.0,1304.0,1084.0,147.06,29.02,100421.59,81.72,6.64,-5.24,-5.03,0.0,-0.0,-0.0,-14.18,11.78,6.13,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:302,0,0,81.0,499.0,418.0,57.14,28.8,100417.18,82.09,-7.91,-4.36,-3.33,0.0,0.0,0.0,16.33,16.44,-15.24,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:429,1,1,76.0,484.0,408.0,56.13,28.08,100464.55,78.12,5.49,-5.94,5.27,-0.0,-0.0,-0.01,-9.95,15.75,-14.87,30.02,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:556,2,2,219.0,1303.0,1084.0,147.18,29.02,100423.97,81.52,6.61,-5.16,-5.14,0.01,0.0,0.0,-13.77,11.9,5.31,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:683,0,0,81.0,499.0,418.0,57.14,28.8,100413.72,82.38,-7.87,-4.34,-3.33,0.0,-0.0,-0.0,15.88,15.57,-14.07,32.62,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:809,1,1,76.0,485.0,409.0,56.29,28.09,100468.03,77.83,5.5,-5.96,5.28,-0.0,0.0,-0.0,-12.92,16.31,-14.87,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:11:936,2,2,219.0,1302.0,1083.0,147.02,29.02,100422.39,81.65,6.66,-5.24,-5.11,-0.0,0.0,-0.0,-13.9,12.27,6.13,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:063,0,0,81.0,499.0,418.0,57.14,28.8,100416.16,82.17,-7.84,-4.4,-3.36,-0.0,0.0,-0.0,16.44,16.23,-13.77,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:189,1,1,76.0,485.0,409.0,56.29,28.08,100461.09,78.41,5.46,-5.95,5.31,-0.0,0.0,-0.01,-9.95,15.75,-15.26,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:316,2,2,219.0,1302.0,1083.0,147.02,29.02,100421.7,81.71,6.55,-5.27,-5.12,-0.01,0.0,-0.0,-13.77,11.9,11.92,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:443,0,0,81.0,499.0,418.0,57.14,28.8,100415.3,82.25,-7.88,-4.39,-3.35,0.0,-0.0,-0.0,15.99,17.97,-14.95,32.64,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:570,1,1,76.0,485.0,409.0,56.29,28.08,100463.55,78.2,5.47,-5.94,5.32,0.0,0.0,-0.0,-16.63,15.84,-15.45,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:696,2,2,219.0,1302.0,1083.0,147.02,29.02,100423.28,81.58,6.41,-5.29,-5.12,-0.02,0.02,-0.03,-14.31,11.66,6.96,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:823,0,0,81.0,499.0,418.0,57.14,28.8,100414.95,82.28,-7.73,-4.34,-3.43,-0.0,0.0,0.0,16.21,18.84,-12.02,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:12:950,1,1,76.0,486.0,410.0,56.45,28.08,100465.02,78.08,5.62,-6.02,5.31,-0.01,-0.01,0.0,-14.41,16.69,-14.48,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:076,2,2,219.0,1302.0,1083.0,147.02,29.02,100423.73,81.54,6.56,-5.32,-5.16,-0.01,0.0,-0.0,-14.04,11.9,6.96,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:203,0,0,81.0,499.0,418.0,57.14,28.8,100420.27,81.83,-7.9,-4.41,-3.29,-0.0,0.0,-0.0,16.88,14.05,-15.53,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:330,1,1,76.0,485.0,409.0,56.29,28.08,100463.28,78.22,5.48,-5.93,5.28,-0.0,0.0,-0.0,-12.92,15.38,-16.42,30.04,missing_pressure,storage_ExFatLogger08.csv
