datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 15:10:58:120,0,0,489.0,2391.0,1902.0,246.92,28.85,100191.95,100.99,-0.79,-8.44,-4.77,0.0,-0.0,0.0,10.79,14.15,-14.42,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:247,0,0,492.0,2403.0,1911.0,248.02,28.85,100190.58,101.11,-0.86,-7.92,-5.02,0.02,-0.0,0.04,10.79,14.85,-15.33,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:374,0,0,494.0,2414.0,1920.0,249.22,28.85,100192.39,100.96,-1.08,-8.08,-5.09,-0.02,-0.01,-0.02,11.11,15.78,-9.84,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:501,0,0,493.0,2411.0,1918.0,249.01,28.85,100192.91,100.91,-0.73,-8.45,-4.99,-0.02,0.0,-0.09,11.27,14.97,-12.13,29.94,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:628,0,0,495.0,2420.0,1925.0,249.9,28.85,100190.75,101.09,-0.81,-8.43,-4.94,-0.0,0.0,-0.04,10.3,14.73,-13.04,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:755,0,0,499.0,2442.0,1943.0,252.3,28.85,100190.23,101.14,-0.56,-7.79,-5.89,0.03,0.02,0.01,10.95,16.13,-14.87,29.97,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:58:882,0,0,504.0,2456.0,1952.0,253.19,28.85,100188.25,101.3,-0.67,-7.95,-5.64,0.0,0.0,0.02,11.91,15.67,-12.13,29.97,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:008,0,0,503.0,2437.0,1934.0,250.48,28.85,100191.61,101.02,-0.83,-8.01,-5.49,-0.0,0.01,0.01,12.72,15.78,-13.5,29.96,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:135,0,0,489.0,2372.0,1883.0,243.95,28.85,100191.09,101.06,-0.54,-8.08,-5.35,0.03,-0.02,-0.05,13.2,17.07,-13.04,29.98,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:262,0,0,474.0,2312.0,1838.0,238.46,28.85,100190.83,101.09,-0.02,-8.06,-5.48,0.03,-0.1,-0.38,14.49,17.77,-14.87,29.95,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:389,0,0,456.0,2245.0,1789.0,232.66,28.85,100190.83,101.09,-0.68,-8.34,-4.89,-0.01,-0.32,-0.27,14.65,17.65,-15.33,29.97,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:516,0,0,446.0,2218.0,1772.0,231.04,28.85,100192.81,100.92,0.1,-8.69,-6.17,-0.17,-0.63,-0.53,13.85,17.77,-17.62,29.94,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:643,0,0,426.0,2124.0,1698.0,221.53,28.86,100193.75,100.84,-1.99,-7.91,-4.81,0.08,-0.14,0.27,14.65,16.95,-15.33,29.95,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:770,0,0,407.0,2014.0,1607.0,209.26,28.85,100192.05,100.98,-0.4,-8.48,-5.11,0.09,0.38,0.37,12.88,17.07,-18.54,29.94,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:10:59:896,0,0,412.0,2035.0,1623.0,211.25,28.85,100192.83,100.92,-0.74,-7.62,-5.72,0.21,0.84,0.74,15.14,17.77,-14.87,29.94,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:023,0,0,408.0,2003.0,1595.0,207.28,28.85,100192.91,100.91,-2.01,-8.27,-5.66,0.09,0.87,0.53,16.43,17.3,-14.87,29.94,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:150,0,0,389.0,1909.0,1520.0,197.52,28.85,100192.48,100.95,-3.16,-6.45,-5.9,0.26,0.74,0.81,14.98,18.12,-15.33,29.95,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:277,0,0,373.0,1813.0,1440.0,186.66,28.85,100192.03,100.99,-1.87,-8.12,-5.2,-0.15,-0.22,-0.4,17.23,18.59,-13.5,29.95,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:404,0,0,360.0,1746.0,1386.0,179.56,28.85,100193.94,100.83,1.12,-7.92,-7.24,-0.04,-0.78,-0.81,17.39,18.47,-21.28,29.93,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:531,0,0,338.0,1639.0,1301.0,168.54,28.85,100189.2,101.22,-0.48,-8.88,-5.48,-0.04,-0.37,-0.33,17.39,18.94,-14.87,29.93,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:658,0,0,319.0,1556.0,1237.0,160.49,28.85,100192.47,100.95,-0.16,-8.45,-4.79,-0.03,-0.07,-0.11,15.3,19.05,-19.91,29.93,missing_parts,shuttle_ExFatLogger02.csv
2020/07/20 15:11:00:784,0,0,311.0,1530.0,1219.0,158.5,28.85,100192.47,100.95,-0.6,-9.29,-4.34,-0.19,-0.05,-0.06,14.81,18.47,-19.45,29.93,missing_parts,shuttle_ExFatLogger02.csv
